"DRG_VERSION","DRG_CODE","AvgOfsnapallied","AvgOfsnappath","AvgOfsnapimag","AvgOfsnapnurse","AvgOfsnapdrugs","AvgOfsnapsupply","AvgOfsnapother"
"S4","4ES3",0.18,0.06,0.11,0.24,0.09,0.27,0.05
"S4","4ES4",0.23,0.06,0.15,0.23,0.08,0.18,0.04
"S4","4ES5",0.18,0.10,0.10,0.21,0.09,0.23,0.07
"S4","4F02",0.21,0.05,0.13,0.36,0.12,0.32,0.16
"S4","4F03",1.46,0.04,0.06,0.36,0.06,0.26,0.17
"S4","4F04",1.44,0.03,0.06,0.34,0.08,0.27,0.07
"S4","4F05",0.98,0.08,0.22,0.21,0.05,0.36,0.09
"S4","4G01",0.96,0.00,0.00,0.38,0.18,0.17,0.02
"S4","4G02",0.58,0.01,0.05,0.37,0.14,0.22,0.08
"S4","4G03",0.21,0.05,0.15,0.34,0.11,0.32,0.16
"S4","4G04",0.29,0.08,0.00,0.52,0.21,0.42,0.34
"S4","4J01",0.11,0.01,0.00,0.10,0.02,0.05,0.02
"S4","4K01",0.28,0.07,0.04,0.47,0.18,0.38,0.27
"S4","4L01",0.54,0.11,0.23,0.21,0.08,0.16,0.05
"S4","4M01",0.40,0.05,0.11,0.35,0.08,0.21,0.04
"S4","4O01",0.19,0.00,0.00,0.07,0.02,0.05,0.04
"S4","4F01",0.19,0.19,0.19,0.19,0.19,0.19,0.19
"S4","4P01",0.19,0.19,0.19,0.19,0.19,0.19,0.19
